"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","2005","平成","17","7","13~14","社有車で国道を走行中、直線道路のセンターラインをはみ出し、対向車のトレーラートラックと正面衝突した。","8","商業","802","小売業","80202","自動車小売業","30~49","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"2","2005","平成","17","9","14~15","バーカーで発生した木皮をバーカー下のコンベヤーを載せ搬送させるため、バーカー出口ベルトコンベヤーとチッパー機送材ベルトコンベヤーの隙間に投入していたところ、稼動していたバーカー出口ベルトコンベヤーと停止していたチッパー機送材ベルトコンベヤーの隙間に巻き込まれた。","1","製造業","104","木材・木製品製造業","10401","製材業","10~29","2","物上げ装置、運搬機械","22","動力運搬機","224","コンベア","7","はさまれ、巻き込まれ"
"3","2005","平成","17","10","15~16","工場構内において、地面に飛散したバラ古紙をフォークリフト及び人力で清掃作業中、バックしたフォークリフトが作業していた被災者に激突した。","1","製造業","106","パルプ・紙・紙加工品製造業","10601","パルプ・紙製造業","10~29","2","物上げ装置、運搬機械","22","動力運搬機","222","フォークリフト","6","激突され"
"4","2005","平成","17","11","14~15","車で信号機のある交差点を走行していたところ、信号を無視したトラックが交差点内に進入し衝突した。","13","保健・衛生業","1302","社会福祉施設","130201","社会福祉施設","1~9","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"5","2005","平成","17","12","11~12","国道跨線橋下の耐震補強工事現場において、鉄道車両の見張りを行っていた被災者が鉄道車両にはねられた。","17","その他の事業","1702","その他の事業","170201","警備業","100~299","2","物上げ装置、運搬機械","23","乗物","232","鉄道車両","6","激突され"
"6","2005","平成","17","11","6~7","車で走行中、交差点を右折したところ、対向車線を走行してきた車と衝突した。","5","貨物取扱業","502","港湾運送業","50202","港湾荷役業","50~99","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"7","2005","平成","17","1","5~6","被災者が詰所内で強盗に遭遇し、殺された。","4","運輸交通業","403","道路貨物運送業","40302","特定貨物自動車運送業","1~9","9","その他","91","その他の起因物","911","その他の起因物","90","その他"
"8","2005","平成","17","1","6~7","タクシー運転業務中、交差点を右折しようとしたところ、対向車線を直進してくるダンプトラックに衝突しそうになったため、回避しようとしてハンドルをきったが、路面が凍結しておりタクシーがスピンしてダンプトラックの前方部分に衝突した。","4","運輸交通業","402","道路旅客運送業","40201","ハイヤー・タクシー業","300~499","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"9","2005","平成","17","1","1~2","垂直スラットコンベヤーに荷が挟まり停止状態となっていたため、被災者は当該コンベヤーを逆転させ挟まっていた荷を除去し、その後、コンベヤー内部に上半身を入れたところ、突然コンベヤーが動き出し、コンベヤー内柵とパレットとの間に挟まれた。","1","製造業","101","食料品製造業","10104","パン、菓子製造業","300~499","2","物上げ装置、運搬機械","22","動力運搬機","224","コンベア","7","はさまれ、巻き込まれ"
"10","2005","平成","17","4","13~14","レール(重さ300キログラム)を天井クレーンによりつり上げ、床上1mまで巻き下げたところ、クランプよりレールが外れ、運転操作していた被災者に落下した。","1","製造業","112","金属製品製造業","11209","その他の金属製品製造業","30~49","3","その他の装置等","37","用具","372","玉掛用具","4","飛来、落下"
"11","2005","平成","17","5","10~11","国道の交通規制をしていた区域内において、被災者は運転してきた4トンダンプトラックの後方に何らかの理由で立ち入り、この時、同ダンプトラックに積込みを行うために前進してきたホイール式ドラグ・ショベルの左前輪でひかれた。","3","建設業","301","土木工事業","30106","道路建設工事業","10~29","1","動力機械","14","建設機械等","142","掘削用機械","7","はさまれ、巻き込まれ"
"12","2005","平成","17","4","11~12","駅構内の線路点検作業中、列車見張員をしていた被災者が、作業終了後に詰所へ戻るため駅構内の線路を横断中、接近してきた回送列車に接触された。","4","運輸交通業","401","鉄道・軌道・水運・航空業","40101","鉄道・軌道業","30~49","2","物上げ装置、運搬機械","23","乗物","232","鉄道車両","6","激突され"
"13","2005","平成","17","8","8~9","被災者は、魚の捕獲用定置網を設置するため乗船して1人で作業中、海に転落した。","7","畜産・水産業","702","水産業","70201","漁業","1~9","2","物上げ装置、運搬機械","23","乗物","239","その他の乗物","10","おぼれ"
"14","2005","平成","17","9","12~13","トラックで国道を走行中に、赤信号で停車していた前方のトラックに追突した。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","30~49","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"15","2005","平成","17","8","16~17","被災者は、自社構内の新築途中の倉庫の2階に仮置きしていた袋詰め原料を使用することとなったため、倉庫外側に設置してあった足場に上がり、倉庫内から原料を足場上に取出し作業中、袋と一緒に地面に墜落した。","3","建設業","302","建築工事業","30201","鉄骨・鉄筋コンクリート造家屋建築工事業","10~29","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","411","足場","1","墜落、転落"
"16","2005","平成","17","11","17~18","地質調査のため山に入り、沢沿いの斜面を下山中、滝の付近から滑落した。","17","その他の事業","1702","その他の事業","170209","その他の事業－その他","1~9","7","環境等","71","環境等","711","地山、岩石","1","墜落、転落"
"17","2005","平成","17","11","3~4","被災者が自転車で朝刊を配達するため信号機のないT字路を横断中、左から来た乗用車にはねられた。","8","商業","802","小売業","80205","新聞販売業","30~49","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"18","2005","平成","17","1","9~10","冷凍車で国道を走行中、対向車線にはみ出し、対向車の大型トレーラートラックと接触し、さらに後続の乗用車に衝突した。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","30~49","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"19","2005","平成","17","3","18~19","牧場の試験用鶏舎内の清掃作業において、被災者1人でガソリンエンジン式高圧水洗浄機を使用し鶏舎内を洗浄中、排気ガスが室内に充満し、その排気ガスを大量に吸い込んで一酸化炭素中毒により倒れているところを発見された。","12","教育・研究業","1201","教育・研究業","120109","その他の教育研究業","10~29","5","物質、材料","51","危険物、有害物等","514","有害物","12","有害物等との接触"
"20","2005","平成","17","8","2~3","大型トラックで高速自動車道を走行中、渋滞停車中の最後尾の別の大型トラックに追突し、運転席に挟まれた。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","30~49","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
