"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","1996","平成","8","1","6~7","新聞配達中、道路を横断していたところ、乗用車にはねられた。","8","商業","","","","","10~29","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"2","1996","平成","8","1","9~10","浄水施設の見回り点検中、殺菌に使う塩素ボンベが空になっていると誤解し、供給装置を他のボンベと付け替えようと元栓を閉めずに装置をボンベから外したところ、塩素ガスが突出した。","1","製造業","116","電気・ガス・水道業","","","1~9","5","物質、材料","51","危険物、有害物等","","","12","有害物等との接触"
"3","1996","平成","8","1","7~8","港の岸壁で運搬業務の準備作業中、海に転落した。","4","運輸交通業","403","道路貨物運送業","","","10~29","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"4","1996","平成","8","1","12~13","リフトコンベヤーの1階荷出口で、被災者が搬器床と荷出口の上枠の間に頭部を挟まれていた。","1","製造業","117","その他の製造業","","","50~99","1","動力機械","16","一般動力機械","","","7","はさまれ、巻き込まれ"
"5","1996","平成","8","1","2~3","軽自動車で走行中、対向車線側の街路樹に激突した。","17","その他の事業","","","","","30~49","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"6","1996","平成","8","1","16~17","乗用車のドアを開け外からエンジンを始動したところ、ギアが入っていたため前進して消火栓ボックスに激突し、ドアと車体の間に挟まれた。","14","接客娯楽業","","","","","100~299","2","物上げ装置、運搬機械","23","乗物","","","7","はさまれ、巻き込まれ"
"7","1996","平成","8","1","10~11","屋上で給水管の取替作業中、約12m下のコンクリート面に墜落した。","3","建設業","303","その他の建設業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"8","1996","平成","8","1","10~11","両替をするため会社の道路反対側に停車し、道路を横断中、走行してきた車に撥ねられた。","4","運輸交通業","402","道路旅客運送業","","","50~99","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"9","1996","平成","8","1","4~5","サッシの枠反転機(長さ5.73mの枠材を反転させる)で作業中、同機の可動範囲内で被災者が倒れていた。","1","製造業","111","非鉄金属製造業","","","300~499","1","動力機械","16","一般動力機械","","","7","はさまれ、巻き込まれ"
"10","1996","平成","8","1","7~8","国道を走行中、運転を誤り電柱に激突した。","4","運輸交通業","403","道路貨物運送業","","","50~99","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"11","1996","平成","8","1","9~10","倉庫屋根の折板葺き作業中、強風にあおられた折板が身体に当たり、弾みで高さ約4mから墜落した。","3","建設業","302","建築工事業","","","不明","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"12","1996","平成","8","1","11~12","依頼された屋根の雪下ろし作業中、屋根から3m下に墜落した。","3","建設業","301","土木工事業","","","30~49","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"13","1996","平成","8","1","14~15","湖に群生しているホテイアオイの除去作業を終え帰港中、強風により船が転覆した。","15","清掃・と畜業","","","","","30~49","2","物上げ装置、運搬機械","23","乗物","","","10","おぼれ"
"14","1996","平成","8","1","17~18","トラック荷台にコイル材を積み込むため、既に積み込まれていたコイル材2個の締付用ワイヤロープを緩めていたところ、材が倒れてきた。","4","運輸交通業","403","道路貨物運送業","","","1~9","5","物質、材料","52","材料","","","5","崩壊、倒壊"
"15","1996","平成","8","1","23~24","送迎用マイクロバスから下車した際、着衣がドアに挟まり、そのまま発進したバスの後輪に轢かれた。","1","製造業","101","食料品製造業","","","300~499","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"16","1996","平成","8","1","8~9","法面下で伐倒木の枝打ち作業中、同僚が玉切りしていた材が法面を転がり、被災者に激突した。","6","農林業","601","農業","","","1~9","7","環境等","71","環境等","","","4","飛来、落下"
"17","1996","平成","8","1","10~11","アパートの棟上げ作業中、梁上から8.5m下のコンクリート床に墜落した。","3","建設業","302","建築工事業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"18","1996","平成","8","1","13~14","デッキプレートの敷いてある12階床の端から、約40m下の2階屋根上に墜落した。","3","建設業","302","建築工事業","","","100~299","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"19","1996","平成","8","1","13~14","積載形トラッククレーンでヒューム管を吊り上げ中、同クレーンが倒れた。","3","建設業","301","土木工事業","","","30~49","2","物上げ装置、運搬機械","21","動力クレーン等","","","6","激突され"
"20","1996","平成","8","1","15~16","ブルドーザで集材路を造成中、法肩の木が倒れ、被災者に激突した。","6","農林業","601","農業","","","1~9","7","環境等","71","環境等","","","5","崩壊、倒壊"
"21","1996","平成","8","1","16~17","伐採作業中、伐倒木が予定外の方向に倒れ、近くで作業中の被災者に激突した。","6","農林業","601","農業","","","100~299","7","環境等","71","環境等","","","6","激突され"
"22","1996","平成","8","1","19~20","トラックで高速道路を走行中、インターチェンジから進入してきたトラックに追突した。","4","運輸交通業","403","道路貨物運送業","","","50~99","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"23","1996","平成","8","1","3~4","10tトラックで走行中、渋滞により前車が急に減速したため、追突した。","4","運輸交通業","403","道路貨物運送業","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"24","1996","平成","8","1","5~6","トラックで走行中、停車中のトレーラーの荷に接触し、電柱に衝突した。","4","運輸交通業","403","道路貨物運送業","","","50~99","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"25","1996","平成","8","1","11~12","漁船3隻で定置網の揚網作業中、船の縁から身を乗り出したところ、僚船が急接近し、船縁との間に挟まれた。","7","畜産・水産業","","","","","30~49","2","物上げ装置、運搬機械","23","乗物","","","7","はさまれ、巻き込まれ"
"26","1996","平成","8","1","12~13","落石防止網設置工事において、地山斜面上の犬走りでアンカー取付位置の確認作業中、上方から落ちて来た岩石が当たり、約45m下の道路に墜落した。","3","建設業","301","土木工事業","","","1~9","7","環境等","71","環境等","","","1","墜落、転落"
"27","1996","平成","8","1","15~16","移動式クレーン(グラップル付)で荷役作業中、機体の近くにいた被災者が、旋回してきたアームと機体の間に挟まれた。","4","運輸交通業","403","道路貨物運送業","","","50~99","2","物上げ装置、運搬機械","21","動力クレーン等","","","7","はさまれ、巻き込まれ"
