"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","2017","平成","29","12","16~17","事業場倉庫付近の側溝を流れる水を利用するために側溝の中に入って工具を洗浄中、被災者の姿が見えなくなったため、事業主が探していたしたところ、8m離れた下流の側溝で、うつ伏せで倒れている被災者を発見した。","3","建設業","302","建築工事業","30209","その他の建築工事業","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","2","転倒"
"2","2017","平成","29","12","12~13","浄水場内の施設点検のため、敷地内を1人でパトロール中に、沈殿池(深さ約3m)の中の通路を東側から西側に向かって歩行中に足を踏み外し沈殿池に落下、溺死した。","1","製造業","116","電気・ガス・水道業","11603","水道業","10~29","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","10","おぼれ"
"3","2017","平成","29","12","14~15","下水道から水が溢れているという緊急要請を受けて、水が溢れている箇所の下流側にある交差点の東側に位置するマンホールの蓋を開けた。被災者は、下水管の詰まりの解消作業前に、作業する箇所の写真撮影のため、保護具を使用せずにマンホール内に進入した。その後、地下2.4mの位置に座り込んで倒れているのが発見された。マンホールには硫化水素が充満しており、中毒症状を発症した。","15","清掃・と畜業","1501","清掃・と畜業","150102","産業廃棄物処理業","50~99","5","物質、材料","51","危険物、有害物等","514","有害物","12","有害物等との接触"
"4","2017","平成","29","12","12~13","航空機の尾翼等整備のため、格納庫奥に保管されていた機体をトーイングトラクターで牽引する際、一旦格納庫外へ前進移動させた後、後退させ格納庫内の作業位置へ移動させる作業を行っていたところ、突然左翼下にある車輪が格納され、機体が傾き、左翼が地面に接触した。その際、左翼の真下にいた被災者が下敷きになり被災した。","4","運輸交通業","401","鉄道・軌道・水運・航空業","40103","航空業","300~499","2","物上げ装置、運搬機械","23","乗物","239","その他の乗物","6","激突され"
"5","2017","平成","29","12","10~11","被災者が、工場内の中2階に上がるために、移動はしご(全長3.76m)を立てかけ昇っていたところ、はしごが転位し、墜落した。","1","製造業","113","一般機械器具製造業","11301","機械（精密機械を除く）器具製造業","1~9","3","その他の装置等","37","用具","371","はしご等","1","墜落、転落"
"6","2017","平成","29","12","8~9","事業主と被災者2名でごみの収集を行い、環境センターでのごみの搬出を終え、センター内の洗車場において、被災者が高圧洗浄機を用いてパッカー車を洗車していた。事業主が電話のために一時的にその場を離れ、戻ってきたところ、パッカー車内部に巻き込まれている被災者が発見された。発見時、高圧洗浄機から水が出ている状態であった。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","10~29","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","7","はさまれ、巻き込まれ"
"7","2017","平成","29","12","8~9","軽装鉄骨造の2階建てアパート新築工事において、外装工事を行う2次下請会社の被災者が、2階北側の開口部(139センチメートル×139センチメートル)の端にて壁パネルの調整を行っていたところ、囲い等の墜落防止措置が講じられていない開口部から3メートル下の地上に墜落し、その際頭蓋骨及び頭蓋底を骨折し、硬膜下血腫により死亡した。","3","建設業","302","建築工事業","30201","鉄骨・鉄筋コンクリート造家屋建築工事業","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","414","開口部","1","墜落、転落"
"8","2017","平成","29","12","6~7","被災者は、スーパーマーケットの窓ガラスの清掃作業のため、天端の高さが約2mの脚立を使用して高さ約2.5mの風除室の屋根上に移動していたところ、地上に墜落し死亡した。なお、脚立は墜落した被災者の付近に転倒していた。","15","清掃・と畜業","1501","清掃・と畜業","150101","ビルメンテナンス業","500~999","3","その他の装置等","37","用具","371","はしご等","1","墜落、転落"
"9","2017","平成","29","12","6~7","事業主とともに社屋屋外に取り付けられた外灯の電球交換中、被災者はフォークリフトのヘッドガードの上で事業主に新品の電球を渡した。その後、「ドン」という音に気付いた事業主がフォークリフト後方で倒れている被災者を発見した。","3","建設業","301","土木工事業","30199","その他の土木工事業","1~9","2","物上げ装置、運搬機械","22","動力運搬機","222","フォークリフト","1","墜落、転落"
"10","2017","平成","29","12","14~15","被災者が軽トラックを運転し走行中、対向車線を走行していたトレーラーが横転し、下敷きとなった。","15","清掃・と畜業","1501","清掃・と畜業","150103","その他の廃棄物処理業","1~9","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
