"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","2009","平成","21","1","12~13","被災者は午前0時から午前8時までの警備業務(車による巡回)に従事していたが、帰宅時間になっても被災者が帰宅しなかったため、警察が捜索を行ったところ、翌日午前10時頃、警備場所付近の海底(水深約3m)に沈没した車から溺死した被災者を発見した。","15","清掃・と畜業","1501","清掃・と畜業","150101","ビルメンテナンス業","50~99","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","10","おぼれ"
"2","2009","平成","21","1","14~15","被災者は同僚2人とパッカー車で前日に収集できなかったゴミの収集作業を行っていた。被災者の運転で災害発生場所に到着しゴミの収集作業を始めた。被災者はゴミ袋を1つ持ちパッカー車に運ぶ時に仰向けに転倒した。被災者のうめき声に同僚が気付き救急車を呼んで市立病院に搬送したが、同日死亡した。","15","清掃・と畜業","1501","清掃・と畜業","150103","その他の廃棄物処理業","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","416","作業床、歩み板","2","転倒"
"3","2009","平成","21","1","23~24","被災者は、事業場内の仮眠室において20時頃より休憩を取っていた。約4時間近く経っても戻らないため仮眠室内を確認しに行った同僚の作業者により、意識消失状態で発見された。","14","接客娯楽業","1403","その他の接客娯楽業","140309","その他の接客娯楽業－その他","50~99","9","その他","92","起因物なし","921","起因物なし","90","その他"
"4","2009","平成","21","1","21~22","被災者含め4人は、切羽上半部の発破作業のため、ドリルジャンボを使用し、穿孔、火薬の装てんを終え、被災者が切羽下端部の結線作業を行っていたところ、切羽上方約4mから岩塊(重量約360キログラム)が肌落ちし、被災者を直撃した。","3","建設業","301","土木工事業","30102","トンネル建設工事業","10~29","7","環境等","71","環境等","711","地山、岩石","5","崩壊、倒壊"
"5","2009","平成","21","1","15~16","店舗兼住宅の庇部分の除雪のため、被災者はトラクター・ショベルのバケットに乗せられ、庇の一部の雪庇を落とした後、当該庇部分(高さ4.56m、幅85センチメートル)に乗り移り、足元の雪を踏み固めていたところ、バランスを崩し墜落した。","15","清掃・と畜業","1501","清掃・と畜業","150109","その他の清掃・と畜業","10~29","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","1","墜落、転落"
"6","2009","平成","21","1","11~12","法面復旧工事において、下流側土場で上流側谷止工のふとん籠に使用する再生骨材を小袋(約25キログラム)に入れ、上流側に運搬するため小袋を鉄箱に8個積み、この鉄箱3箱(総重量632.5キログラム)を連結し単管で製作したガイド上を電動ホイストを使用して運搬中、ホイストのワイヤロープに取付けられた滑車を固定している番線が切断し、その反動で傍らで運搬の合図を行っていた被災者に滑車が飛来した。","3","建設業","301","土木工事業","30108","砂防工事業","10~29","2","物上げ装置、運搬機械","22","動力運搬機","229","その他の動力運搬機","4","飛来、落下"
"7","2009","平成","21","1","13~14","スキー場終点駅舎において、リフト滑車等の日常点検のため点検台に上がり移動中、点検歩道から約1.4mの位置にあるリフトを動かすプロペラシャフトの下を潜り抜けようとしたところ、当該シャフトの突起物であるグリース注入口(突起高さ約1.2センチメートル)に衣服(防寒着のフード又は襟)が巻込まれ、身体は当該シャフトを軸に数回、回転し被災した。","14","接客娯楽業","1403","その他の接客娯楽業","140309","その他の接客娯楽業－その他","500~999","1","動力機械","12","動力伝導機構","121","動力伝導機構","7","はさまれ、巻き込まれ"
"8","2009","平成","21","1","4~5","国道の拡幅除雪作業をトラック2台、ロータリー除雪車、標識車を使い行っていた。午前4時頃、被災者は駐車帯に同僚とパトロール車で移動し同僚から「ロータリーが入ってくるので、オーガが止ったら助手を代わるように」と指示されたが、視線誘導柱の横でロータリー除雪車の工事写真を撮影中の同僚が車道側に立っていたため「危ないから下がれ」と注意された後、国道を横断中に乗用車にはねられた。","3","建設業","301","土木工事業","30199","その他の土木工事業","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"9","2009","平成","21","1","8~9","被災者は作業者3人と埋め戻し作業に従事しており、作業者2人がドラグ・ショベルの前方に位置し、被災者1人だけがドラグ・ショベルの後方の位置で鍬を使い路肩の成形を行っていた。ダンプトラックが土砂を運搬してきたため、ドラグ・ショベルを約70センチメートルほど後進させたところ、被災者はクローラにひかれた。","3","建設業","301","土木工事業","30107","河川土木工事業","10~29","1","動力機械","14","建設機械等","142","掘削用機械","7","はさまれ、巻き込まれ"
"10","2009","平成","21","2","16~17","木造家屋(旧洋裁工場)の解体工事現場において、被災者は16時ごろに金属廃材を積んだダンプトラックを運転するため入場したが、ダンプトラックの荷が満載になっていなかったため待機することとなった。現場では最後の壁2面の解体作業中、グラップルで壁のうち1面を引き倒したと同時にもう1面の壁が倒れ、付近を歩いていた被災者に柱が当った。","3","建設業","302","建築工事業","30209","その他の建築工事業","30~49","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","5","崩壊、倒壊"
"11","2009","平成","21","2","9~10","被災者は、運転手と二人でごみ収集の個別委託先であるホテルにおいて、可燃ごみの収集作業を行っていた。ごみ収集車のテールゲートを開けて可燃ごみを積込み、作業を終えたので、運転手が被災者に声をかけて運転席にあるスイッチでテールゲートを閉めた時に、悲鳴が聞こえたので、後部を見に行ったところ被災者が倒れていた。","15","清掃・と畜業","1501","清掃・と畜業","150101","ビルメンテナンス業","100~299","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","7","はさまれ、巻き込まれ"
"12","2009","平成","21","2","10~11","ゴミ収集作業(戸別収集)において、ゴミ収集車の運転者と収集作業者2人により作業中、ゴミ収集車が町道を左折後、後進運転したところ、ゴミ収集車の後方にいた被災者を左後輪でひいた。","15","清掃・と畜業","1501","清掃・と畜業","150103","その他の廃棄物処理業","30~49","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","6","激突され"
"13","2009","平成","21","2","16~17","国道の電線工事現場において、被災者は片側交互通行規制によりセンターライン近くで、交通誘導業務(委託業務)を行っていたところ、走行して来た乗用車が速度を落とさず直進して来たため、反対車線側に退避しようとしたが、乗用車は急ブレーキを掛けながら、センターライン側へ寄り被災者がはねられた。なお、現場道路は、見通しの良い直線道路であり、乾燥路面だった。","17","その他の事業","1702","その他の事業","170201","警備業","30~49","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"14","2009","平成","21","2","23~24","スケトウダラ刺網漁のため、被災者含め5人が漁船(9.7t)に乗っていた。沖合で揚網作業がほぼ終了したころ、船体が徐々に右舷側へ傾き、波を受けてそのまま転覆した。転覆直前に全員が海に飛び込み、4人は僚船に救助されたが、被災者は行方不明となった。","7","畜産・水産業","702","水産業","70201","漁業","1~9","2","物上げ装置、運搬機械","23","乗物","239","その他の乗物","18","交通事故（その他）"
"15","2009","平成","21","2","15~16","川に架ける橋の新設工事において、仮桟橋上の300tクローラクレーンで、基礎杭施工用の定規として使用するH鋼材を載せたユニフロートをつり上げた。このユニフロートには被災者を含め3人が搭乗していた。川面で当該クレーンでつっていたユニフロートを180度回転させようとしたところ、ユニフロートに載せていたH鋼材と川面から出ていた既設のH鋼杭が接触し、ユニフロートに乗っていた被災者が川に墜落した。","3","建設業","301","土木工事業","30105","橋梁建設工事業","10~29","2","物上げ装置、運搬機械","21","動力クレーン等","212","移動式クレーン","3","激突"
"16","2009","平成","21","3","9~10","被災者は営業先に向かうため、社有車を運転し国道を走行中、対向して走行してきた乗用車がセンターラインをはみ出し、前方の車と接触後、さらに被災者の乗用車と正面衝突した。現場は直線道路で、路面は乾燥していた。","3","建設業","303","その他の建設業","30302","機械器具設置工事業","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"17","2009","平成","21","3","15~16","水管からの漏えい等により修理が予定されていた配管ピットの蓋が開いていたため、同僚がこのピットに入ったところ、ピット底に倒れている被災者を発見した。消防レスキューにより救出されたが、同日死亡が確認された。","15","清掃・と畜業","1501","清掃・と畜業","150101","ビルメンテナンス業","500~999","7","環境等","71","環境等","715","高温・低温環境","90","その他"
"18","2009","平成","21","3","6~7","被災者は朝刊の配達のため、軽乗用車を運転し公道を走行中、信号機のない交差点で、左側から来た乗用車と衝突し、車外に放り出された。","8","商業","802","小売業","80205","新聞販売業","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
