"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","2014","平成","26","12","10~11","調理台の上にて、上方にある棚の清掃作業中、墜落し、コンロ台で背部を打ちつけ、死亡した。","8","商業","802","小売業","80209","その他の小売業","1~9","3","その他の装置等","39","その他の装置、設備","391","その他の装置、設備","1","墜落、転落"
"2","2014","平成","26","12","17~18","ワゴン車で自動車道を走行中、横転し、死亡した。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","30~49","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"3","2014","平成","26","12","15~16","1階の屋根上にて、2階屋根の軒先付近に張り出した雪をスコップで突き落とそうとした際、雪止めが外れていた2階屋根上の雪が大きな塊となって落下し、落下した雪とともに1階屋根上から滑落。頭部を下にした状態で雪中に埋もれ、低酸素脳症により死亡した。","8","商業","802","小売業","80209","その他の小売業","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","415","屋根、はり、もや、けた、合掌","4","飛来、落下"
"4","2014","平成","26","12","13~14","住宅屋根雪下ろし作業中、蔵屋根から誤って墜落し、死亡した。","3","建設業","302","建築工事業","30209","その他の建築工事業","10~29","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","415","屋根、はり、もや、けた、合掌","1","墜落、転落"
"5","2014","平成","26","12","17~18","作業場から事務所に戻った際、バイクを運転し、信号のある交差点を前車に続いて右折したところ、対向車線を直進して交差点に進入してきた相手車と交差点内で衝突した。","3","建設業","302","建築工事業","30201","鉄骨・鉄筋コンクリート造家屋建築工事業","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"6","2014","平成","26","12","8~9","被災者は、冷却器のメンテナンス作業を行うため、約4mの高さにある冷却器設置場所に上り、作業中、冷却器設置場所の周囲には柵が設けられており、その一部が開閉式となっていたが、柵の留め具が破損し、代わりに紐で留められていた為、被災者が柵に寄りかかったところ、柵の紐が切れ、柵が解放された部分から墜落した。","1","製造業","101","食料品製造業","10109","その他の食料品製造業","50~99","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","416","作業床、歩み板","1","墜落、転落"
"7","2014","平成","26","12","8~9","被災者ら2名はテーブルリフターが設置されたピット内に入った際、何らかの理由によりテーブルが下降し、胴体がテーブルとピット側壁の間に挟まれた。","1","製造業","104","木材・木製品製造業","10409","その他の木材・木製品製造業","10~29","2","物上げ装置、運搬機械","21","動力クレーン等","214","エレベータ、リフト","7","はさまれ、巻き込まれ"
"8","2014","平成","26","12","8~9","被災者が3階から1階へ荷物用エレベーターで空段ボール箱を降ろす作業中、空段ボール箱が1階に降りてこないため、1階の同僚が3階まで上がったところ、昇降路の囲いと搬器の囲いの間に頭部を挟まれた状態の被災者が発見された。","1","製造業","117","その他の製造業","11709","その他の製造業－その他","1~9","2","物上げ装置、運搬機械","21","動力クレーン等","214","エレベータ、リフト","7","はさまれ、巻き込まれ"
"9","2014","平成","26","12","17~18","構内事務所で作業終了後、帰宅するため、構内バスのバス停に移動中、道路の横断歩道を横断中に乗用車に跳ねられた。","1","製造業","110","鉄鋼業","11001","製鉄・製鋼・圧延業","50~99","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","6","激突され"
"10","2014","平成","26","12","15~16","配送移動中、トンネル内で前方に停止していたトラックに追突した。","8","商業","801","卸売業","80102","家具・建具・じゅう器等卸売業","30~49","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"11","2014","平成","26","12","13~14","工場内の土砂が保管されているピットの端にて、土砂をダンプに積み出すためのドラグショベルの運転を誘導中、ピットの端から2.5m下のコンクリート地面に墜落し、死亡した。","15","清掃・と畜業","1501","清掃・と畜業","150102","産業廃棄物処理業","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","1","墜落、転落"
"12","2014","平成","26","12","11~12","事業場の資材置き場にて、積載型トラッククレーンの荷台上で足場資材を下ろす作業中、バランスを崩し、荷台に平積みされた足場板上から地面に転落した。","3","建設業","302","建築工事業","30209","その他の建築工事業","1~9","2","物上げ装置、運搬機械","21","動力クレーン等","212","移動式クレーン","1","墜落、転落"
"13","2014","平成","26","12","9~10","支障木の伐採作業中、ナラの木の幹の半分程度までチェーンソーで切断したところ、ナラの木上部の幹が裂け、倒壊。被災者が伐倒木の下敷きになった。","3","建設業","301","土木工事業","30106","道路建設工事業","1~9","7","環境等","71","環境等","712","立木等","6","激突され"
"14","2014","平成","26","12","15~16","巡回警備中、屋外アスファルト駐車場で後ろ向きに倒れ、頭部を強打し、死亡した。","15","清掃・と畜業","1501","清掃・と畜業","150101","ビルメンテナンス業","100~299","9","その他","92","起因物なし","921","起因物なし","90","その他"
"15","2014","平成","26","12","12~13","トレーラーを運転中、カーブに進入した際、道路右側の側壁に衝突し、衝撃で車両が横転。死亡した。","8","商業","801","卸売業","80109","その他の卸売業","10~29","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"16","2014","平成","26","12","8~9","法面造成工事にて、バックホウに専用のつり具を用い、ブロックを高さ約4.5m位置から下ろす作業中、重機がバランスを崩し、転落。下方にいた被災者に重機のバケットが激突し、死亡した。なお、当該重機は移動式クレーン仕様であるが、災害発生時はクレーンモードにしておらず、定格荷重0.9t(作業半径7.3m)に対して約1.3tの荷(つり具を含む)を吊っていた。","3","建設業","301","土木工事業","30199","その他の土木工事業","100~299","1","動力機械","14","建設機械等","142","掘削用機械","6","激突され"
"17","2014","平成","26","12","16~17","被災者は、トラックの左後方にあるタイヤにコンプレッサーにより空気を充填していたところ、タイヤが破裂。破裂した際の空気圧で被災者は後方に飛ばされ、大動脈乖離により死亡した。","8","商業","802","小売業","80204","燃料小売業","1~9","3","その他の装置等","37","用具","379","その他の用具","15","破裂"
"18","2014","平成","26","12","16~17","コンクリート製台付管成型機での作業終了後、成型機上部にあるコンクリートを投入する装置のホッパー内側に付着したコンクリートを除去していたところ、装置にコンクリートを供給するホッパー(中継ホッパー)が移動してきたことに気づかず、中継ホッパーと装置のホッパーとの間に挟まれた。","1","製造業","109","窯業土石製品製造業","10901","セメント・同製品製造業","30~49","2","物上げ装置、運搬機械","22","動力運搬機","229","その他の動力運搬機","7","はさまれ、巻き込まれ"
"19","2014","平成","26","12","15~16","鉄骨組立作業中、桁の上を移動していたところ、バランスを崩し、約8メートル墜落した。","3","建設業","302","建築工事業","30201","鉄骨・鉄筋コンクリート造家屋建築工事業","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","415","屋根、はり、もや、けた、合掌","1","墜落、転落"
"20","2014","平成","26","12","5~6","ゴミ収集車が赤信号で交差点内に進入した際、左側から青信号で走行してきたダンプと出会い頭に衝突。ゴミ収集車を運転していた被災者が車外に投げ出され、全身打撲により死亡した。","8","商業","801","卸売業","80109","その他の卸売業","10~29","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"21","2014","平成","26","12","7~8","機材の納品業務のため、軽ワゴンに同乗中、路面凍結により車がスリップし、対向車線にはみ出し、対向から直進してきたトラックと衝突した。","17","その他の事業","1702","その他の事業","170209","その他の事業－その他","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"22","2014","平成","26","12","9~10","資材置場へ向かうため、スクーターに乗り移動中、交差点にて、乗用車と激突した。","3","建設業","301","土木工事業","30199","その他の土木工事業","1~9","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"23","2014","平成","26","12","7~8","被災者が、店舗中2階通路の扉を開けて中に入り、通路内のケーブルラックの横桟に足をかけ、検針作業していたところ、背面の出入り口の扉が突然開き、後ろ向きの状態で下の階段に墜落。1階の階段下に倒れているところを発見された。","15","清掃・と畜業","1501","清掃・と畜業","150101","ビルメンテナンス業","100~299","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","416","作業床、歩み板","1","墜落、転落"
"24","2014","平成","26","12","15~16","路面舗装作業中、ダンプトラック荷台後部をのぞき込んでいた被災者が、接近してきた車両系建設機械に挟まれた際、同僚が操作レバーを引いたところ、旋回体が走行体後方に向いていたため、操作レバーの方向と車体の進行方向が逆で、被災者が挟まれた。","3","建設業","301","土木工事業","30106","道路建設工事業","1~9","1","動力機械","14","建設機械等","142","掘削用機械","7","はさまれ、巻き込まれ"
"25","2014","平成","26","12","14~15","国旗掲揚台上に脚立を設置し、国旗掲揚台の掲揚ポールに掛かっていた松の木の枝を脚立天板に跨り、高枝剪定鋏に付いている鋸で枝を切っていたところ、バランスを崩し、掲揚台の下のコンクリート上に墜落した。尚、被災者は、保護帽を被っておらず、安全帯も着用していなかった。","17","その他の事業","1702","その他の事業","170209","その他の事業－その他","50~99","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","1","墜落、転落"
"26","2014","平成","26","12","13~14","雑木伐採現場にて、被災者はタブの木を伐倒したところ、雑木が倒れていくと同時に、枝に引っかかっていた枯木が落下し、直下の被災者の頭部に直撃した。","6","農林業","602","林業","60209","その他の林業","10~29","7","環境等","71","環境等","712","立木等","4","飛来、落下"
"27","2014","平成","26","12","11~12","ライトバンを運転し、高速道路を走行中、対向車線を走行してきた高速バスと衝突した。","8","商業","801","卸売業","80109","その他の卸売業","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"28","2014","平成","26","12","8~9","配送先にて、荷降ろしを行っていた際、停車していたトラックが動き出したため、前方に回って止めようとしたところ、道路側面にある隣家の門柱とトラックの間で挟まれた。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","1~9","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","7","はさまれ、巻き込まれ"
"29","2014","平成","26","12","8~9","被災者がトラックに保護帽を取りに向かった際、運転席から降りたところ、誤って足を踏み外し、地面に頭を強く打ち付けた。","15","清掃・と畜業","1501","清掃・と畜業","150101","ビルメンテナンス業","30~49","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","1","墜落、転落"
"30","2014","平成","26","12","6~7","漁港を出港した際、南下してきた砂利運搬船と衝突し、転覆。被災者ら2名が死亡した。","7","畜産・水産業","702","水産業","70209","その他の水産業","1~9","2","物上げ装置、運搬機械","23","乗物","239","その他の乗物","18","交通事故（その他）"
"31","2014","平成","26","12","16~17","メッキ加工工場にて、天井クレーンの巻き上げ操作を行った際、建屋片側の走行レールと建屋を接続している溶接箇所が破断し、片側の走行レールの一部とともにクレーンの片側が落下。付近で材料の運搬作業を行っていた被災者に激突した。","1","製造業","112","金属製品製造業","11204","めっき業","30~49","2","物上げ装置、運搬機械","21","動力クレーン等","211","クレーン","5","崩壊、倒壊"
"32","2014","平成","26","12","13~14","立木の伐採作業中、他の作業者が伐倒した伐倒木の先端部が被災者の頭部に激突した。","6","農林業","602","林業","60201","木材伐出業","1~9","7","環境等","71","環境等","712","立木等","6","激突され"
