"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","1994","平成","6","1","8~9","事業場の前に商品を陳列していたところ、歩道に乗り上げてきた乗用車にはねられた。","8","商業","","","","","10~29","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"2","1994","平成","6","1","0~1","客を降ろして帰る途中、市道から5.6m下の川に転落した。","4","運輸交通業","402","道路旅客運送業","","","30~49","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"3","1994","平成","6","1","16~17","ワイヤロープで荷掛けした杉3本を林内作業車で地曳きしたところ、そのうち1本が反転して近くにいた被災者に激突した。","6","農林業","601","農業","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","6","激突され"
"4","1994","平成","6","1","7~8","バイクで新聞配達を終え店に戻る途中、Uターンしようとしたところ、前方より走行してきた乗用車と衝突した。","8","商業","","","","","50~99","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"5","1994","平成","6","1","10~11","故障した天井クレーンの過巻防止装置をガーター上で修理し、下にいた同僚にクレーンを走行させるよう指示したところ、天井の梁とクレーンの巻上機との間に胸部を挟まれた。","1","製造業","106","パルプ・紙・紙加工品製造業","","","100~299","2","物上げ装置、運搬機械","21","動力クレーン等","","","7","はさまれ、巻き込まれ"
"6","1994","平成","6","1","11~12","バイクで得意先廻り中、国道交差点で4tトラックと出会い頭に衝突した。","9","金融・広告業","","","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"7","1994","平成","6","1","14~15","スタンド屋根上において、塵埃を出さないための散水作業を終え移動中、天窓を踏み抜き約9.3m下の地上に墜落した。","3","建設業","302","建築工事業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"8","1994","平成","6","1","17~18","下水管埋設工事において、掘削溝(幅1.2m、深さ1.7m、長さ7.6m)の掘削面にコンパネを当てる作業中、掘削面が約2.8m3 崩壊して土砂に押され、コンクリート製暗渠角に頭部を激突した。","3","建設業","301","土木工事業","","","1~9","7","環境等","71","環境等","","","5","崩壊、倒壊"
"9","1994","平成","6","1","5~6","普通トラックで建築用材を運搬中、国道交差点で横から来た軽ワゴン車と衝突し、信号機に激突した。","1","製造業","104","木材・木製品製造業","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"10","1994","平成","6","1","10~11","タンクローリーから液体塩素をユーザーのタンクに荷卸しする際、タンク側配管の遮蔽板のボルトを緩めたところ塩素ガスが吹きだし、これを吸入した。","4","運輸交通業","403","道路貨物運送業","","","50~99","3","その他の装置等","32","化学設備","","","12","有害物等との接触"
