"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","1993","平成","5","1","9~10","自家用車で走行中、道路の窪みでバウンドして車体が回転し、反対車線の電柱に激突した。","8","商業","","","","","10~29","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"2","1993","平成","5","1","5~6","50ccバイクで新聞配達中、道路脇の用水路に転落した。","8","商業","","","","","30~49","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"3","1993","平成","5","1","18~19","配管ピット内において、ボイラーからの温水配管の漏れを止めるため圧着ソケットを取付中、配管の腐食部より温水が噴き出した。","13","保健・衛生業","","","","","100~299","3","その他の装置等","31","圧力容器","","","11","高温・低温の物との接触"
"4","1993","平成","5","1","22~23","乗客を乗せ国道を走行中、2tトラックと正面衝突した。","4","運輸交通業","402","道路旅客運送業","","","300~499","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"5","1993","平成","5","1","23~24","閉店したパチンコ店内で景品運搬中、強盗に刺された。","14","接客娯楽業","","","","","1~9","9","その他","91","その他の起因物","","","90","その他"
"6","1993","平成","5","1","0~1","トラックで国道を走行中、大型トラックに追突し、道路脇の民家のブロック塀に衝突した。","4","運輸交通業","403","道路貨物運送業","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"7","1993","平成","5","1","4~5","10tトラックで荷を運搬中、凍結路面上で前方の車5台が追突等で急停車したため前車のトラックに追突した。","1","製造業","106","パルプ・紙・紙加工品製造業","","","1~9","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"8","1993","平成","5","1","11~12","木造2階建住宅工事において足場板を敷いた2階梁上で壁塗り作業中、泥船(壁塗りの原料)を取るため移動したところ足場板(4×0.24m)がズレて外れ、3.63m下のコンクリート土間に墜落した。","3","建設業","302","建築工事業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"9","1993","平成","5","1","13~14","商品納入のためトラックに同乗し自動車専用道路を走行中、故障停車中のトラックに追突した。","8","商業","","","","","100~299","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"10","1993","平成","5","1","11~12","側溝の掘削作業中、ドラグ・ショベルを旋回させたところ、側溝内にいた被災者にバケットが激突した。","3","建設業","301","土木工事業","","","10~29","1","動力機械","14","建設機械等","","","6","激突され"
"11","1993","平成","5","1","13~14","手堀りによる井戸(径0.95m、深さ11.6m)堀作業において、井戸内に入ったところ倒れた。","3","建設業","302","建築工事業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","12","有害物等との接触"
"12","1993","平成","5","1","14~15","検針業務を終え自転車で帰社途中、交差点で乗用車にはねられた。","1","製造業","116","電気・ガス・水道業","","","100~299","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"13","1993","平成","5","1","7~8","自家用車で出張中、国道トンネル付近の緩いカーブで対向車線にはみ出し、大型トラックと正面衝突した。","17","その他の事業","","","","","1~9","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"14","1993","平成","5","1","10~11","山門の解体作業において、高さ約5mの山門屋根上で瓦の取り外し中、山門が倒壊し墜落した。","3","建設業","302","建築工事業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"15","1993","平成","5","1","10~11","ケーソンを仮置きするため曵船と起重機船でケーソンを移動中、曵船が転覆し船内に閉じ込められた。","3","建設業","301","土木工事業","","","30~49","2","物上げ装置、運搬機械","23","乗物","","","18","交通事故（その他）"
"16","1993","平成","5","1","11~12","修理業者が行っていた荷物用エレベータの修理を見ていたところ、搬器が突然落下し搬器と床の間にはさまれた。","1","製造業","103","衣服その他の繊維製品製造業","","","30~49","2","物上げ装置、運搬機械","21","動力クレーン等","","","4","飛来、落下"
