"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","2012","平成","24","12","6~7","被災者は徒歩で新聞配達業務を行っていた。大方配り終え残り数部を持って片側一車線の国道の路肩を歩行中、後ろから走行してきたミキサー車にはねられ間もなく死亡した。ミキサー車は対向車の除雪車のライトがまぶしく、排土板が自車線にはみ出していたため減速しながら左によって走行していた。路肩にいた被災者に気付きハンドルを切ったが、圧雪アイスバーンのため滑って避けられず、車両左側方が被災者に接触し、左路外に逸脱した。","8","商業","802","小売業","80205","新聞販売業","10~29","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"2","2012","平成","24","12","10~11","改修中の歩道において、当日舗装を予定していた一帯を被災者を含む複数の労働者で養生用にかけていたブルーシートをはがす作業及び除雪作業を行っていたところ、舗装作業開始場所まで舗装用アスファルトの合材を運搬するべく後進してきたダンプトラックにより激突され、被災者が轢かれた。なお、当該トラックが後進する際、誘導者による誘導は行われていなかった。","3","建設業","301","土木工事業","30106","道路建設工事業","1~9","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","6","激突され"
"3","2012","平成","24","12","14~15","被災者は国有林の間伐作業現場において伐倒作業中、かかり木を処理することなくかかられた木を伐倒していたところ、倒れてきたかかり木に激突され死亡した。","6","農林業","602","林業","60209","その他の林業","30~49","7","環境等","71","環境等","712","立木等","5","崩壊、倒壊"
"4","2012","平成","24","12","4~5","被災者は深夜に行われていた鉄道工事が終了し、複数の同僚と一緒にワンボックスカーに乗車し事務所へ戻るため国道を走行中、ワンボックスカーがセンターラインをはみ出してしまい、対向車の小型トラックと衝突し被災した。なお、被災時、当該国道は、片側1車線、圧雪アイスバーン、60キロ規制であった。","3","建設業","301","土木工事業","30104","鉄道軌道建設工事業","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"5","2012","平成","24","12","4~5","被災者は深夜に行われていた鉄道工事が終了し、複数の同僚と一緒にワンボックスカーに乗車し事務所へ戻るため国道を走行中、ワンボックスカーがセンターラインをはみ出してしまい、対向車の小型トラックと衝突し被災した。なお、被災時、当該国道は、片側1車線、圧雪アイスバーン、60キロ規制であった。","3","建設業","301","土木工事業","30104","鉄道軌道建設工事業","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"6","2012","平成","24","12","9~10","被災者は市道の縁石の一部取り替え工事のため、縁石より約1m離れた車道側に立って交通誘導を行っていたところ、複数台連なって走ってきた車列の最後尾の軽自動車が被災者に気付かず走行してきたため、はね飛ばされた。加害者はそのまま逃走した。","17","その他の事業","1702","その他の事業","170201","警備業","50~99","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"7","2012","平成","24","11","13~14","被災者は工事現場が悪天候のため、午前中のみで終了したため帰宅することとなったが、会社からの指示で途中、市内のガソリンスタンドに立ち寄り、車両系建設機械に入れる燃料の打合せを行うことになった。被災者は乗用車を単独で運転し、目的地に向かって運転中、直線の片側1車線の道路でアイスバーンのためスリップし、反対車線に飛び出し走行してきたダンプトラックに正面衝突した。","3","建設業","301","土木工事業","30199","その他の土木工事業","30~49","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"8","2012","平成","24","11","8~9","現場は片側1車線の緩やかな左カーブで、クリーニングの配送のためワゴン車で走行していた被災者が前方に停止していた右折車を右側から追い越したところ、対向車線から来た大型トラックと正面衝突し、全身打撲等により死亡した。なお、被災当時現場はみぞれが降っており、路面はシャーベット状態であった。","1","製造業","117","その他の製造業","11703","クリーニング業","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"9","2012","平成","24","11","7~8","ダンプトラック(最大積載重量4t)を運転して道路工事現場に向かっていた被災者が、凍結路面でスリップしてカーブを曲がりきれずに路外に逸脱、横転し、車体と地面に挟まれて死亡した。","3","建設業","301","土木工事業","30106","道路建設工事業","10~29","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"10","2012","平成","24","11","13~14","被災者は荷主の構内で積載型トラッククレーンで電線の荷積み作業を行っていた。その際、木製ドラムに巻いた電線を他の作業員がフォークリフトで当該トラックに乗せた後、被災者がクレーンのリモコンを操作して荷を荷台の中心部に移動させていたところ、玉掛に使用していた2本の繊維ベルトのうち1本が切断し、荷が倒れ、あおりとの間に挟まれた。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","10~29","3","その他の装置等","37","用具","372","玉掛用具","6","激突され"
"11","2012","平成","24","10","11~12","被災者は圧縮機を用いて産業廃棄物(廃プラスチック)を圧縮する作業に従事していた。高さ約3mのホッパー付近に詰まった廃棄物を取り除こうとしたところ、誤って圧縮機内のプレス部分に転落し、廃棄物とともにはさまれた。消防に通報し救出されたが、その場で死亡が確認された。","15","清掃・と畜業","1501","清掃・と畜業","150102","産業廃棄物処理業","1~9","1","動力機械","16","一般動力機械","169","その他の一般動力機械","1","墜落、転落"
"12","2012","平成","24","10","16~17","林道の新設工事において、路面上をドラグショベルが後進しながら地均ししていたところ、同路面横の地山(高さ約1.8m)上を作業終了後の片付け作業のために歩行していた被災者を、ドラグショベルのキャタピラでひいてしまった。","3","建設業","301","土木工事業","30106","道路建設工事業","50~99","1","動力機械","14","建設機械等","142","掘削用機械","7","はさまれ、巻き込まれ"
"13","2012","平成","24","10","10~11","被災者は屋上において、防水設備工事の施工管理の一環として写真撮影をしていたところ、作業床の端(パラペット)を越えて地上に墜落した。なお、地上からパラペットの上端まで約30m。パラペットは、高さ50センチメートル×幅20センチメートルであった。また、被災者は保護帽を着用し、安全帯は着用していたが使用していなかった。","3","建設業","302","建築工事業","30209","その他の建築工事業","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","415","屋根、はり、もや、けた、合掌","1","墜落、転落"
"14","2012","平成","24","10","14~15","被災者は貯氷庫内に設置されている氷を均す機械(レーク)の上部から氷上に墜落し、レークの刃部に巻き込まれ、頭部損傷により死亡した。なお、貯氷庫入口扉を開けるとレークの通電を遮断するスイッチは切られ、レークは運転状態となっていた。","17","その他の事業","1702","その他の事業","170209","その他の事業－その他","1~9","1","動力機械","16","一般動力機械","169","その他の一般動力機械","7","はさまれ、巻き込まれ"
"15","2012","平成","24","10","9~10","被災者はホタテ漁のためホタテ漁船に乗り、「八尺」と呼ばれる爪付きのけた網を海中に投入する作業に従事していたところ、八尺のチェーンに足が引っ掛かり、八尺と共に海中に転落した。乗組員に救助され病院に搬送されたが、死亡した。","7","畜産・水産業","702","水産業","70209","その他の水産業","50~99","2","物上げ装置、運搬機械","23","乗物","239","その他の乗物","10","おぼれ"
"16","2012","平成","24","10","1~2","高所作業車を使って鉄骨の組み立て作業中、災害発生現場にあった開口部養生蓋に付けられていた単管パイプが、高所作業車の停車位置と重なり、作業の障害となっていたため、当該高所作業車操作者は開口部養生蓋をずらして作業を行っていた。被災者は当該高所作業車の操作者に工具を借りるため近づいたところ、開口部より約9m墜落し死亡した。","3","建設業","301","土木工事業","30101","水⼒発電所等建設工事業","30~49","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","414","開口部","1","墜落、転落"
