"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","2008","平成","20","10","12~13","自社所有の冷凍冷蔵庫敷地内において、被災者は、大型トラック(ウイング車)の荷台上にのぼり、積載された荷(657箱・1箱約10キログラム)の確認を行っていたところ、仰向けの状態のまま1.2m下の地面に墜落した。なお、被災者は保護帽を着用していなかった。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","30~49","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","1","墜落、転落"
"2","2008","平成","20","9","9~10","鉄骨造2階建の選別場兼倉庫内の2階倉庫で、トマト出荷用の段ボール箱を組立作業中、積み上げた段ボール箱を移動させた際に、荷揚げ用開口部分(高さ3.8m)から墜落した。","6","農林業","601","農業","60101","農業","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","414","開口部","1","墜落、転落"
"3","2008","平成","20","8","11~12","ダンプトラックが運んでくる土砂をブル・ドーザーで単独で均す作業を朝7時頃から行っていた。ブル・ドーザーを後進させている途中に運転席(キャブ)から転落して、クローラとブル・ドーザー本体の間にはさまれて死亡した。","2","鉱業","202","土石採取業","20202","砂利採取業","10~29","1","動力機械","14","建設機械等","141","整地・運搬・積込み用機械","7","はさまれ、巻き込まれ"
"4","2008","平成","20","9","15~16","被災者は単独で伐木作業を行っていたが、作業終了後の午後4時までに作業場所から直線距離で300mほど離れた土場に戻ってこなかったため、他の作業者らが作業場所周辺を捜したところ、作業箇所付近で幹が二股のトドマツの片方が折れて被災者に激突し、死亡しているのが発見された。","6","農林業","602","林業","60201","木材伐出業","10~29","7","環境等","71","環境等","712","立木等","4","飛来、落下"
"5","2008","平成","20","10","19~20","13t箱形冷凍車を搬入口前にバックで駐車し、エンジンをかけたままで翌日朝の搬入に備えてパレット移動に用いるジョルダーというレール状の人力運搬機2本を冷凍車内から下ろし冷凍車の扉を閉めた。直後に冷凍車が搬入口の方に動き出したため車を止めようとしたが止めきれず、保冷車の後部扉部分と搬入口のエプロン(床面高さ105センチメートル、厚さ35センチメートル)に保冷車の方を向いた状態で身体をはさまれ死亡した。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","10~29","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","6","激突され"
"6","2008","平成","20","12","16~17","被災者はコンクリート養生に使用するジェットヒーターの燃料タンク(防油堤、架台、タンクで一組)をクレーン機能付きドラグ・ショベルでつり上げ仮置場から所定の場所に移動する作業に従事していた。被災者と作業者が防油堤の対角2隅に玉掛けし、オペレーターが地切りしたところタンクと架台が転倒したためオペレーターがブームを下げた。その際、作業装置の下にいた被災者がバケットで押しつぶされ、バケットと防油堤の間にはさまれた。","3","建設業","301","土木工事業","30105","橋梁建設工事業","10~29","1","動力機械","14","建設機械等","142","掘削用機械","7","はさまれ、巻き込まれ"
"7","2008","平成","20","5","6~7","被災者は、民有林の伐倒作業現場において、チェーンソーを用いニレの木(胸高直径18センチメートル)の伐倒作業を行ったところ、当該伐倒木の枝が、隣に立っていた木の根元から高さ8m20センチメートルの位置に生えていた枯れ枝(直径29センチメートル、長さ3m33センチメートル)とからんでいたため、伐倒の際に当該枯れ枝が折れて飛来し、退避中の被災者に激突した。なお、被災者は保護帽を着用しており、枯れ枝の激突により保護帽が割れていた。","6","農林業","602","林業","60209","その他の林業","1~9","7","環境等","71","環境等","712","立木等","4","飛来、落下"
"8","2008","平成","20","7","12~13","被災者は、トレーラー(積載重量19.3t)を運転し、片側一車線の国道上を走行中、左カーブに差し掛かったところ、カーブを曲がりきれずに路外に逸脱し、横転した。なお、トレーラーは、時速40キロメートル制限の当該カーブへ時速60キロメートル程度で進入した。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","1~9","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"9","2008","平成","20","8","8~9","被災者は、工事現場内での使用が終わった締固め用機械(タイヤローラー機体重量2.7t)をリース会社へ返却するため公道(直線道路、幅員7m)を自走中に反対車線を逸脱し深さ約1.5mの側溝へ転落した。その衝撃で乗っていたタイヤローラーの下敷きになり死亡した。","3","建設業","301","土木工事業","30199","その他の土木工事業","1~9","1","動力機械","14","建設機械等","144","締固め用機械","17","交通事故（道路）"
"10","2008","平成","20","9","8~9","被災者は、ミルクローリー(牛乳集荷用タンク車)を運転して各酪農家で牛乳を集め終えて乳製品工場へ向けて町道を走行中、1灯式信号機のある交差点に差し掛かったところ、左から来た乗用車と出会い頭に衝突した。その衝撃で右路肩より路外へ逸脱し、ミルクローリーが1回転して運転席が大破し死亡した。なお、被災者側の信号機は黄色の点滅であった。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","10~29","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"11","2008","平成","20","10","11~12","被災者は、牧場構内出入口に設置された鉄製扉と乗用車との間にはさまれた状態で発見され、病院へ収容されたが死亡した。なお、被災者は一人作業で牛に給餌するために乗用車から降りて鉄製扉を開錠しようとした際、自分が乗ってきた車が動き出しはさまれ被災した。","7","畜産・水産業","701","畜産業","70101","畜産業","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","7","はさまれ、巻き込まれ"
"12","2008","平成","20","11","9~10","被災者はトド松の間伐作業に従事していた。高さ約23mのトド松を伐倒したところ、かかり木になってしまったがそのままにして、かかられている立木のそばで次のトド松の伐倒の元口切り作業をしていたところ、そのかかり木がはずれ下敷きになっているところを発見された。なお、この伐採面では単独作業であった。","6","農林業","602","林業","60209","その他の林業","10~29","7","環境等","71","環境等","712","立木等","5","崩壊、倒壊"
"13","2008","平成","20","11","9~10","水力発電所の放水路内の定期点検に伴う放水路水替工事において、排水ポンプで放水路内の水抜き作業を行っていた。被災者は、放水路下流口で排水ポンプに詰まった落ち葉等を除去する作業を行っていたが、途中から行方不明となり、本工事の作業予定箇所ではない、放水路の本線から分岐した予備放水路の奥にある水深約5m、奥行き約10mの水留め部の底で発見された。被災者の作業箇所と被災箇所は約50m離れていた。","3","建設業","301","土木工事業","30199","その他の土木工事業","10~29","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","10","おぼれ"
"14","2008","平成","20","1","15~16","被災者は、午後の休憩後、工場構内の材料置場でフォークリフト(最大荷重2.5t)を運転し、2段重ねになっている材料(木製の梁材、41本)の下段の材料を1本抜き取る作業を行っていた。午後5時になって被災者の姿が見えなかったので上司が捜したところ、下段の材料(29本)とフォークで持ち上げた材料(12本、約200キログラム)の間にはさまれた状態で死亡しているのが発見された。","1","製造業","104","木材・木製品製造業","10401","製材業","30~49","2","物上げ装置、運搬機械","22","動力運搬機","222","フォークリフト","7","はさまれ、巻き込まれ"
"15","2008","平成","20","2","15~16","被災者は、14時に昼休みを終了し、日直の職員に「2階の雪下ろしを行う」と申し送りして、一人で2階入所者用居室のベランダ部分の雪下ろし作業を行っていた。その後、15時頃に雪下ろし作業をしていた場所から4.71m下の職員玄関前(雪下ろし作業をしていた直下)に倒れているのを入所者に面会に来た人が発見した。なお、保護帽・安全帯は未着用であった。","13","保健・衛生業","1302","社会福祉施設","130201","社会福祉施設","50~99","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","1","墜落、転落"
"16","2008","平成","20","2","17~18","被災者は、照明柱の照明器具の角度調整をするため安全帯(2丁掛け)を着用して高さ約19mの照明柱に登り、調整作業を行った。作業を終えて照明柱を降りるため安全帯の親フックを外した際に、足を滑らせ足を乗せていた照明器具の取付用架台から約1m落下した。その際、親フックの金具が取付用架台と照明柱の隙間に引っかかり宙づり状態となり、死亡した。","3","建設業","303","その他の建設業","30301","電気通信工事業","10~29","3","その他の装置等","35","電気設備","359","その他の電気設備","1","墜落、転落"
