"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","1992","平成","4","1","15~16","工場内の簡易リフト(搬器:0.7×0.9m、高さ0.8m)の荷台に乗り、2階に上がろうとしたところ、搬器と1階の天井部との間に挟まれた。","1","製造業","101","食料品製造業","","","10~29","2","物上げ装置、運搬機械","21","動力クレーン等","","","7","はさまれ、巻き込まれ"
"2","1992","平成","4","1","5~6","手押し車に荷を積み、県道をはさんだ向かいの倉庫に行く途中、後続の乗用車に激突された。","8","商業","","","","","50~99","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"3","1992","平成","4","1","8~9","本船の揚荷装置で粉体移送用ゴム製パイプを移動中、パイプの陸上への接続作業をしていたところ、ブーム荷吊り用ワイヤロープが切れ、ブームと荷が落下した。","5","貨物取扱業","502","港湾運送業","","","10~29","2","物上げ装置、運搬機械","21","動力クレーン等","","","4","飛来、落下"
"4","1992","平成","4","1","10~11","クリーニングの配達中、凍結した傾斜道路上にワゴン車をサイドブレーキを入れギアをローにして停車させ、車の前方に荷を持ってまわったところ、車が滑ってきてひかれた。","9","金融・広告業","","","","","1~9","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"5","1992","平成","4","1","3~4","国道上で客を降ろし発進したところ、後続の普通乗用車に追突された。","4","運輸交通業","402","道路旅客運送業","","","10~29","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"6","1992","平成","4","1","6~7","50ccバイクで新聞配達中、市道脇の電柱に衝突した。","8","商業","","","","","10~29","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"7","1992","平成","4","1","9~10","抄出し準備のためプレスパート最上段の北端通路上で毛布の点検中、移動中のクレーンのガータ下部と通路の手摺に挟まれた。","1","製造業","106","パルプ・紙・紙加工品製造業","","","500~999","2","物上げ装置、運搬機械","21","動力クレーン等","","","7","はさまれ、巻き込まれ"
"8","1992","平成","4","1","9~10","自社車庫内で、オイル交換のためエアー式ジャッキで上げたタクシーの下に入り、オイルキャップを外そうとしたとき、ジャッキのツメから車体が落下し下敷きになった。(輪止めはかけられておらず、サイドブレーキは緩く、ジャッキのツメは所定の位置にかけられていなかった)","4","運輸交通業","402","道路旅客運送業","","","30~49","2","物上げ装置、運搬機械","23","乗物","","","7","はさまれ、巻き込まれ"
"9","1992","平成","4","1","12~13","自社敷地内において、10tダンプカーの荷台を上げ油圧シリンダーの油漏れ点検中、油が漏れ出すと同時に荷台が降下し、荷台と車体の間に挟まれた。","4","運輸交通業","403","道路貨物運送業","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","7","はさまれ、巻き込まれ"
"10","1992","平成","4","1","15~16","自家用軽トラックで戸別訪問中、交差点で信号待ちの後、直進させたところ、右側から進行してきた乗用車と衝突した。","17","その他の事業","","","","","1~9","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
