"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","2003","平成","15","1","14~15","同僚の放火により、鉄骨プレハブ平屋3棟と2階建て1棟の計約450m2が全焼し、1名が焼死体で発見された。","3","建設業","302","建築工事業","30201","鉄骨・鉄筋コンクリート造家屋建築工事業","30~49","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","16","火災"
"2","2003","平成","15","1","20~21","4tトラックに積込み作業終了後、プラットホームから離そうとした時に商品を落下させてしまったので、落下した商品を積込むためトラックを停めてトラックとプラットホームの隙間に屈んだときに、サイドブレーキをかけていなかったためトラックが後進し、トラックとプラットホームの間にはさまれた。","8","商業","801","卸売業","80109","その他の卸売業","50~99","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","7","はさまれ、巻き込まれ"
"3","2003","平成","15","1","10~11","年末年始の休暇期間中に構内を巡回していたところ、循環ポンプのバルブのパッキンが破裂しているのを発見しパッキンの交換作業をする前に、高さ5mのところにあるケーブルラック(幅40センチメートル)に上がって元バルブを閉止しようとしたときに、積雪により足元が滑り5m下の構内道路に墜落した。","1","製造業","108","化学工業","10899","その他の化学工業","30~49","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","1","墜落、転落"
"4","2003","平成","15","1","14~15","自動車保管用駐車場から自動車を移動するため国道を走行中、左側路地から進入してきたオートバイを避けようとしてハンドルを切り損ね橋脚に激突した。","8","商業","804","その他の商業","80409","その他の商業－その他","30~49","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"5","2003","平成","15","1","13~14","リチウムイオン電池製造ラインで、ライン上にある真空乾燥装置内に入っていた製品(電池)を乗せたパレットがライン上からずれていることに気が付き、身体を乾燥装置内に入れ修正しようとして、窒素で充填されている乾燥設備の窒素充填側の扉を開けたため酸素欠乏により死亡した。","1","製造業","114","電気機械器具製造業","11403","電子機器用・通信機器用部品製造業","100~299","7","環境等","71","環境等","714","異常環境等","12","有害物等との接触"
"6","2003","平成","15","1","16~17","物流センターの配送ラインの油圧リフト(1600キログラム)の解体作業において、ピット内で点検作業中に油圧ポンプから油が漏れたために降下してきた油圧リフトにはさまれた。","3","建設業","303","その他の建設業","30309","その他の建設業－その他","1~9","2","物上げ装置、運搬機械","21","動力クレーン等","219","その他の動力クレーン等","7","はさまれ、巻き込まれ"
"7","2003","平成","15","1","8~9","事業場内で、ドラグ・ショベルにより除雪作業中、後進してきたドラグ・ショベルにひかれた。","3","建設業","301","土木工事業","30199","その他の土木工事業","10~29","1","動力機械","14","建設機械等","142","掘削用機械","6","激突され"
"8","2003","平成","15","1","11~12","石材加工場内で、裁断後自立していた石板(1枚が長さ約2m・高さ約1m・幅約3センチメートルで重さが約100キログラム)14枚が背中側に倒れてきたため、前方に仮置きされていた石との間に胸部をはさまれた。","1","製造業","109","窯業土石製品製造業","10909","その他の土石製品製造業","10~29","5","物質、材料","52","材料","523","石、砂、砂利","5","崩壊、倒壊"
"9","2003","平成","15","1","15~16","製品発送のために一人で出勤して敷地内の雪かき作業を行い、昼頃に運送業者と伝票受け渡しをした後に何らかの理由で会社敷地内の用水槽(水深170センチメートル)へ転落、溺死した。","1","製造業","109","窯業土石製品製造業","10905","その他の窯業","1~9","7","環境等","71","環境等","713","水","10","おぼれ"
"10","2003","平成","15","1","6~7","製品を納入して国道を走行中、乗用車がセンターラインを越えて対向車線にはみ出し、対向車と正面衝突して炎上した。","1","製造業","108","化学工業","10806","ゴム製品製造業","100~299","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"11","2003","平成","15","1","11~12","プラスチック板の成形加工を行う真空成形機の金型表面をエアーガンで吹き払うため、真空成形機のテーブル上部に入っていたところ、自動運転上昇してきたテーブルと外枠との間に胸部をはさまれた。","1","製造業","108","化学工業","10805","プラスチック製品製造業","50~99","1","動力機械","16","一般動力機械","169","その他の一般動力機械","7","はさまれ、巻き込まれ"
"12","2003","平成","15","1","11~12","鉄骨3階建の住宅建設工事で、外部足場の組立作業中、3階床面で足場材の受け渡しを行っていて3階床面の開口部から墜落した。","3","建設業","302","建築工事業","30201","鉄骨・鉄筋コンクリート造家屋建築工事業","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","416","作業床、歩み板","1","墜落、転落"
"13","2003","平成","15","1","14~15","敷地内で、木材を運搬するため運転していたフォークリフトが、製材工場シャッター前に仮置きしてあった板材に衝突し、運転席からフォークリフトの脇の地面に転落した。","1","製造業","104","木材・木製品製造業","10401","製材業","1~9","2","物上げ装置、運搬機械","22","動力運搬機","222","フォークリフト","3","激突"
"14","2003","平成","15","1","23~24","警備員が翌日の勤務に必要な無線機を別の作業所まで取りに行くために、単車で市道を走行中、普通乗用車に追突した。","17","その他の事業","1702","その他の事業","170201","警備業","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"15","2003","平成","15","1","8~9","町道の坂道で、除雪剤を撒いた路面で車がスリップして横向きに道をふさぐ形となったため、車の様子を見に行った時、車の5m程前の凍結したアスファルト舗装道路で足を滑らせ横転し、後頭部を強打した。","3","建設業","301","土木工事業","30106","道路建設工事業","30~49","7","環境等","71","環境等","714","異常環境等","2","転倒"
"16","2003","平成","15","1","14~15","旧牛舎に置かれていた餌を作るためのサイレージの缶(鉄製の箱.153センチメートル×306センチメートル×153センチメートル)を別の場所に運ぶよう指示を受け、最大荷重3.5tのフォークリフトで旧牛舎に向かったが、旧牛舎前の道で横転しフォークリフトのヘッドガードに頭部をはさまれた。","7","畜産・水産業","701","畜産業","70101","畜産業","30~49","2","物上げ装置、運搬機械","22","動力運搬機","222","フォークリフト","2","転倒"
"17","2003","平成","15","1","3~4","配送先へ向かうためトラックで走行中、交通上のトラブルがあって2人組の乗用車に追跡され、国道の橋上で停車させられ、その後、トラックから降りて逃げる際に橋から約11m下に墜落した。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","10~29","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","1","墜落、転落"
"18","2003","平成","15","1","4~5","構内で、運転手と助手が10tトラックでスラグ3tとスラグバック13.2tの運搬中に、トラックが曲がり角で横転し、漏れ出た軽油にスラグバックから流れ出たスラグが引火し2名が焼死した。","1","製造業","110","鉄鋼業","11009","その他の鉄鋼業","1~9","5","物質、材料","51","危険物、有害物等","512","引火性の物","16","火災"
"19","2003","平成","15","1","4~5","構内で、運転手と助手が10tトラックでスラグ3tとスラグバック13.2tの運搬中に、トラックが曲がり角で横転し、漏れ出た軽油にスラグバックから流れ出たスラグが引火し2名が焼死した。","1","製造業","110","鉄鋼業","11009","その他の鉄鋼業","1~9","5","物質、材料","51","危険物、有害物等","512","引火性の物","16","火災"
"20","2003","平成","15","1","11~12","温泉の浴場の清掃作業で、天井付近の清掃を行うため折りたたんだ脚立を梁からロープでつり、脚立を上り始めたときに高さ4.8m付近から墜落した。","13","保健・衛生業","1303","その他の保健衛生業","130301","浴場業","1~9","3","その他の装置等","37","用具","371","はしご等","1","墜落、転落"
"21","2003","平成","15","1","13~14","チェーンソーで雑木の伐採作業中(直径30センチメートル、高さ14mのクヌギ)に、伐木が裂けて倒れその下敷きになった。","6","農林業","602","林業","60201","木材伐出業","1~9","7","環境等","71","環境等","712","立木等","5","崩壊、倒壊"
"22","2003","平成","15","1","14~15","看板設置作業を終えてトラックで帰る途中、運転者が居眠り運転をして右カーブを曲がれずに歩道に乗り上げて街路樹に激突したため、助手席に同乗していた者が両下腿骨折したので病院で感染症を防ぐため薬剤の投与を続け、症状が安定した14日後に両下腿骨折の手術を行ったところ、手術中に心筋梗塞を起し心肺停止となった。","3","建設業","303","その他の建設業","30309","その他の建設業－その他","1~9","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"23","2003","平成","15","1","2~3","新幹線の上り線においてケーブルの敷設作業で、当日予定のケーブルを敷設し終えたので線路上の台車上で載せていたケーブルドラムが回転しないようロープで固定する作業を行っていて、高さ1.2mの台車から転落した。","3","建設業","303","その他の建設業","30301","電気通信工事業","10~29","2","物上げ装置、運搬機械","23","乗物","232","鉄道車両","1","墜落、転落"
"24","2003","平成","15","1","4~5","自転車で朝刊の配達中、道路を右折したときに自転車ごと1.5mほど下の用水路に転落した。","8","商業","802","小売業","80205","新聞販売業","10~29","2","物上げ装置、運搬機械","23","乗物","239","その他の乗物","17","交通事故（道路）"
"25","2003","平成","15","1","8~9","屋根張り作業を行うため、地上から高さ約5.5mの屋根上に登ったところ、ベニヤ板に書き込むエンピツを忘れたのに気づいて屋根から躯(く)体外側に設置されたブラケット足場の2段目(高さ約4.1m)に移ろうとしたときに、足場上でつまずき躯(く)体内側に落下した。","3","建設業","302","建築工事業","30201","鉄骨・鉄筋コンクリート造家屋建築工事業","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","411","足場","1","墜落、転落"
"26","2003","平成","15","1","11~12","冷凍車(最大積載量12.9t)で野菜約10tを配送して国道を走行中、事故で破損した中央分離帯の緊急補修工事のために渋滞中の車の列に追突した。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","1~9","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"27","2003","平成","15","1","0~1","看板の保守点検作業で、外周の点検作業中に走行してきたトラックに道路上ではねられた。","3","建設業","303","その他の建設業","30309","その他の建設業－その他","1~9","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"28","2003","平成","15","1","16~17","マンホール部品製造工場において、砂型の塗型作業中、床上操作式クレーン(2.8t)で作業台の上につり上げていた質量400キログラムの砂型がつり具のワイヤから外れて落下し激突された。","1","製造業","110","鉄鋼業","11002","鋳物業","30~49","2","物上げ装置、運搬機械","21","動力クレーン等","211","クレーン","4","飛来、落下"
"29","2003","平成","15","1","17~18","屋外の旗掲場ポール設置工事において、ビニールシートで覆って密閉した作業場内で練炭を燃焼させ、打設した基礎コンクリートの養生をしているときに、作業場内に入ってコテで仕上げ作業を行っていて一酸化炭素中毒で死亡した。","3","建設業","302","建築工事業","30209","その他の建築工事業","10~29","5","物質、材料","51","危険物、有害物等","514","有害物","12","有害物等との接触"
"30","2003","平成","15","1","9~10","店舗の改修工事において、ローリングタワー上で壁のはつりの墨出し寸法の確認作業を終え、足場に取り付けられた昇降はしごで土間(アスファルト)に降りようとしたときに、足場から1.75m下に墜落した。","3","建設業","302","建築工事業","30209","その他の建築工事業","100~299","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","411","足場","1","墜落、転落"
"31","2003","平成","15","1","11~12","工場内で、アルミ角棒に複数の穴を自動であける機械(長さ4.03m、幅0.8m、高さ1.96m、質量890キログラム)の移設で2台の台車(パレット状で4車輪)の上に機械の前部と後部をそれぞれ載せ、他の作業者3名と共に手押しで移設先まで移動させて方向転換をしようとしたところ、突然台車上の機械が倒れてきた。","1","製造業","112","金属製品製造業","11203","金属プレス製品製造業","50~99","1","動力機械","15","金属加工用機械","159","その他の金属加工用機械","5","崩壊、倒壊"
"32","2003","平成","15","1","13~14","自動車部品のネジ切り作業中、切削機の異常修復のためロボットの作業範囲内に入って作業していたところ、止まっていたロボットが動き出し、後ろからロボットに押されて切削機との間にはさまれた。","1","製造業","115","輸送用機械等製造業","11502","自動車・同付属品製造業","100~299","1","動力機械","16","一般動力機械","167","産業用ロボット","7","はさまれ、巻き込まれ"
"33","2003","平成","15","1","14~15","クレーンでフレコンバックから飼料を投入中に、トラックの荷台(高さ2.6m)から転落した。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","30~49","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","1","墜落、転落"
"34","2003","平成","15","1","15~16","車庫上部にあるC型鋼にさび止めペンキを塗るため、はしごをかけて上がろうとしたときにはしごが横に滑ったため墜落した。","3","建設業","302","建築工事業","30201","鉄骨・鉄筋コンクリート造家屋建築工事業","1~9","3","その他の装置等","37","用具","371","はしご等","1","墜落、転落"
"35","2003","平成","15","1","15~16","工場内にあるアスファルトガラ仮置場で、ドラグ・ショベルを用いて小さいガラと大きいガラに分別していたときに、高さ約7mのガラ山から転落し、運転者が放り出されて下敷きになった。","4","運輸交通業","403","道路貨物運送業","40309","その他の道路貨物運送業","10~29","1","動力機械","14","建設機械等","142","掘削用機械","1","墜落、転落"
"36","2003","平成","15","1","21~22","ビルの6、7階バルコニーのコンクリート仕上げ具合を点検するため、7階西側バルコニーの外側にあたるひさしの端を通行中に、約17m下の地上に墜落した。","3","建設業","302","建築工事業","30201","鉄骨・鉄筋コンクリート造家屋建築工事業","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","1","墜落、転落"
"37","2003","平成","15","1","8~9","アパート兼工場の解体作業で、隣接する工場の屋根(プラスチック製波板とスチール製波板が交互に設けられているもの)に上ったときに、プラスチック製波板部(高さ約6.7m)を踏み抜いて工場床面に墜落した。","3","建設業","302","建築工事業","30202","木造家屋建築工事業","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","415","屋根、はり、もや、けた、合掌","1","墜落、転落"
"38","2003","平成","15","1","12~13","道路路面補修工事において、車道と歩道の間にある溝(幅1m、深さ0.18m)の上に敷き鉄板(1.5m×3m、質量約800キログラム)を敷くため、ドラグ・ショベルで鉄板をつり上げて所定の位置に旋回し、鉄板の下端が地面に接地したとき、ワイヤが緩んで敷き鉄板のつり上げ用孔からフックが外れて誘導者の方に倒れ、逃げようとしたが溝に足を取られて転倒し鉄板の下敷きになった。","17","その他の事業","1702","その他の事業","170201","警備業","10~29","3","その他の装置等","37","用具","372","玉掛用具","4","飛来、落下"
"39","2003","平成","15","1","10~11","筆の柄を乾燥機へ運搬する台車から棚(約60キログラム)を取り出すときに、「走行レール及び定格荷重150キログラムの巻上機並びにフォークを有する機械」が、片方の走行レールに寄り過ぎていたため、当該機械上でバールを用いて調整していたところ、この機械が走行レールから外れ機械とともに、2.45m下に墜落した。","1","製造業","104","木材・木製品製造業","10409","その他の木材・木製品製造業","1~9","2","物上げ装置、運搬機械","21","動力クレーン等","219","その他の動力クレーン等","1","墜落、転落"
"40","2003","平成","15","1","10~11","1tローラーで道路の舗装作業中、後方よりタイヤローラーがバックしてきてひかれた。","3","建設業","301","土木工事業","30106","道路建設工事業","10~29","1","動力機械","14","建設機械等","144","締固め用機械","7","はさまれ、巻き込まれ"
"41","2003","平成","15","1","11~12","工場において、段ボール印刷・加工用装置の溝切りユニットのローラー部の調整作業中、第3印刷ユニットと溝切りユニットの間に立入ったときに、移動式の第3印刷ユニットが水平に移動してきたため、両ユニットの間にはさまれた。","1","製造業","106","パルプ・紙・紙加工品製造業","10609","その他のパルプ・紙・紙加工品製造業","30~49","1","動力機械","16","一般動力機械","166","印刷用機械","7","はさまれ、巻き込まれ"
"42","2003","平成","15","1","13~14","空車の2t普通トラックで会社に帰るため国道を走行中、渋滞で停車中の大型トラックに追突した。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","1~9","2","物上げ装置、運搬機械","22","動力運搬機","221","トラック","17","交通事故（道路）"
"43","2003","平成","15","1","14~15","高速道路高架橋の床板補修工事で、高所作業車に乗って床板下面のブラスト作業をしていたところ、突然高所作業車のかごが上昇し、かごの手すりと床板下面にはさまれた。","3","建設業","301","土木工事業","30199","その他の土木工事業","1~9","1","動力機械","14","建設機械等","146","高所作業車","7","はさまれ、巻き込まれ"
"44","2003","平成","15","1","14~15","橋梁の塗装工事において、アーチ部の上塗り作業をしていた者が、足場作業床(幅80センチメートル×120センチメートル)から一段上(高さ90センチメートル)に設置していた足場作業床(幅40センチメートル×120センチメートル)に移動するときに、足場板と足場板との間(幅70センチメートル)から約7.2m下のつり足場の上に墜落したあと、防網の隙間から約23m下の地面に墜落した。","3","建設業","303","その他の建設業","30309","その他の建設業－その他","30~49","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","411","足場","1","墜落、転落"
"45","2003","平成","15","1","15~16","山林内での雪害木の処理作業で、直径約19センチメートルの杉を伐倒したところ、その木が「かかり木」となったので、これを外す作業をしていたときに木が落下して直撃された。","6","農林業","602","林業","60209","その他の林業","10~29","7","環境等","71","環境等","712","立木等","6","激突され"
"46","2003","平成","15","1","16~17","会議中に気分が悪くなって席を外し、しばらくしても戻らないので様子を見に行ったところ、意識不明の状態で倒れているところを発見された。","3","建設業","303","その他の建設業","30309","その他の建設業－その他","10~29","9","その他","91","その他の起因物","911","その他の起因物","90","その他"
