"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"216","1995","平成","7","2","0~1","国道上でトレーラーにチェーンを装着中、付近で事故を起こしたトラックにはねられた。","4","運輸交通業","403","道路貨物運送業","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"217","1995","平成","7","2","5~6","大型トラックで国道を走行中、信号待ち中の大型トレーラーに追突した。","4","運輸交通業","403","道路貨物運送業","","","30~49","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"218","1995","平成","7","2","9~10","ゴミ収集車後部ステップに乗って移動中、振り落とされた。","15","清掃・と畜業","","","","","30~49","2","物上げ装置、運搬機械","22","動力運搬機","","","1","墜落、転落"
"219","1995","平成","7","2","15~16","木造2階建住宅の2階根太を取付中、足を滑らせ4.7m下のコンクリート土間に墜落した。","3","建設業","302","建築工事業","","","10~29","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"220","1995","平成","7","2","18~19","出向先のオーストラリアにおいて乗用車で移動中、交差点で乗用車と衝突した。","17","その他の事業","","","","","1000~9999","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"221","1995","平成","7","2","1~2","10tトラックで国道を走行中、前方の車が急停車したため、前車の10tトラックに追突した。","4","運輸交通業","403","道路貨物運送業","","","50~99","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"222","1995","平成","7","2","9~10","立坑内で梯子の延長作業中、落石防止用の板を設置していたところ、墜落した。","2","鉱業","203","その他の鉱業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"223","1995","平成","7","2","9~10","滞水池上部水路の水取り作業中、水路から88.5センチメートル下のビティ足場に飛び移った時、足場上部(高さ7m)より墜落した。","3","建設業","301","土木工事業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"224","1995","平成","7","2","11~12","スレート屋根の葺替作業中、スレートを踏み抜き8.9m下に墜落した。","3","建設業","302","建築工事業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"225","1995","平成","7","2","14~15","擁壁下部になる部分を床堀中、地下より蒸気が噴出して土砂が大量に吹き上げ、土砂崩れが起きた。","3","建設業","301","土木工事業","","","1~9","7","環境等","71","環境等","","","11","高温・低温の物との接触"
