"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","2016","平成","28","12","7~8","被災者は軽トラックを運転していて対向車線の橋の欄干に衝突、車から降りたところ、走行中の別の自動車(軽トラック)にはねられた。","15","清掃・と畜業","1501","清掃・と畜業","150109","その他の清掃・と畜業","1~9","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"2","2016","平成","28","12","10~11","牧場の拡張工事の一環として給餌場を新設するにあたり、その建築材料として新牧場まで、トラックにより単管7本の運搬作業を行っていた。新牧場にて荷を下ろす際、積荷を固定していたロープを外し、被災者が荷台に上り積み荷を降ろそうとした際に積荷が崩壊、積荷すべてとともに被災者が荷台左側面から墜落した。墜落時に積荷により腹部が圧迫された結果、膵臓が損傷し死亡した。","1","製造業","101","食料品製造業","10101","肉製品、乳製品製造業","1~9","6","荷","61","荷","611","荷姿の物","5","崩壊、倒壊"
"3","2016","平成","28","12","5~6","被災者は、排気量50CCバイク(スクーター)による新聞配達を終えて販売店に戻る途中、直線道路において歩行者と接触したのち転倒、頭部を強く打ち死亡した。","8","商業","802","小売業","80205","新聞販売業","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"4","2016","平成","28","12","9~10","店舗駐車場内の交通整理業務中、被災者は乗用車を駐車しようとしていた客に声をかけたところ、乗用車が運転席のドアを開けた状態で後方に急発進し、体にドアが強く当たり転倒、後頭部を強打した。","17","その他の事業","1702","その他の事業","170201","警備業","10~29","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","6","激突され"
"5","2016","平成","28","12","2~3","朝刊の配達中、川に掛けられた橋を歩行していたところ、凍結した床面に足を滑らせバランスを崩し手すりの隙間から3メートル下の川へ転落した。","8","商業","802","小売業","80205","新聞販売業","10~29","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","418","建築物、構築物","1","墜落、転落"
"6","2016","平成","28","12","15~16","バックホーを使用して、現場に運び込まれた盛土を掘削箇所に埋め戻し作業中、手前側の盛土をすくうため、重機を移動させたところ、重機の近くにいた作業員が重機に接触し、轢死した。","3","建設業","302","建築工事業","30201","鉄骨・鉄筋コンクリート造家屋建築工事業","1~9","1","動力機械","14","建設機械等","141","整地・運搬・積込み用機械","6","激突され"
"7","2016","平成","28","12","8~9","青果場の敷地内に停められた乗用車の後方で、頭部から出血し倒れている被災者が発見された。被災者は、病院にて治療を受けていたが、翌日死亡が確認された。","8","商業","801","卸売業","80109","その他の卸売業","10~29","7","環境等","71","環境等","719","その他の環境等","2","転倒"
"8","2016","平成","28","12","2~3","国道において、キャリアカーを駐車して商品車の積み下ろし作業を行っていたところ、後方から走行してきたワンボックスカーがキャリアカーに追突、キャリアカーで商品車の緊締作業を行っていた被災者がワンボックスカーと自動車あるいはキャリアカーとの間にはさまれた。","4","運輸交通業","403","道路貨物運送業","40301","一般貨物自動車運送業","50~99","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","17","交通事故（道路）"
"9","2016","平成","28","12","7~8","大学構内において、桜の木に梯子をかけて小型のチェーンソーを使用して枝切り作業を行っていたところ、切断した枝が梯子に激突し、その反動でバランスを崩し、梯子から5.75m下のアスファルト床に墜落した。","6","農林業","601","農業","60101","農業","10~29","3","その他の装置等","37","用具","371","はしご等","1","墜落、転落"
"10","2016","平成","28","12","15~16","被災者は、構内で他の事業者が施工している工事現場を社用車でパトロール中、内港の角付近にいつも他の事業者の安全担当者と情報交換している駐車スペースがあり、そこへ社用車を停めようとしたところ、アクセルとブレーキを踏み間違え、車止めを乗り越え社用車もろとも海中へ転落した。","1","製造業","112","金属製品製造業","11209","その他の金属製品製造業","50~99","2","物上げ装置、運搬機械","23","乗物","231","乗用車、バス、バイク","10","おぼれ"
