新No,事故タイトル,元写真,イラストOpenAI,イラストGoogle,OpenAIモデル,Googleモデル
N01,展示パネル積み下ろし中、昇降板からの墜落,photos_v16/N01/base.png,illust_v17/N01/openai_illust.png,illust_v17/N01/google_illust.png,gpt-image-2,gemini-3-pro-image-preview
N02,什器の積み下ろし中、昇降板と車体の間に足を挟まれ,photos_v16/N02/base.png,illust_v17/N02/openai_illust.png,illust_v17/N02/google_illust.png,gpt-image-2,gemini-3-pro-image-preview
N03,パワーゲートでの荷役中、昇降板から転落しかけ,photos_v16/N03/base.png,illust_v17/N03/openai_illust.png,illust_v17/N03/google_illust.png,gpt-image-2,gemini-3-pro-image-preview
N04,台車を昇降装置へ移す際、台車が落下し下敷きに,photos_v16/N04/base.png,illust_v17/N04/openai_illust.png,illust_v17/N04/google_illust.png,gpt-image-2,gemini-3-pro-image-preview
