通し番号,ファイル名,カテゴリ,種別,出所URL,出所ドメイン,状況メモ,md5
28,0028.png,墜落・転落,教育イラスト,"https://www.irasutoya.com/2018/08/blog-post_290.html",www.irasutoya.com,"高所作業車 バケット 墜落 安全帯 未使用 イラスト",4eb7d6bd24d564e9ada152f5ef454844
29,0029.webp,墜落・転落,教育イラスト,"http://nochikujorney.com/post-1985/",nochikujorney.com,"高所作業車 バケット 墜落 安全帯 未使用 イラスト",2c6f1b0b89dbe2b59a8badb0abf459de
30,0030.jpg,墜落・転落,教育イラスト,"https://www.ac-illust.com/main/detail.php?id=42337",www.ac-illust.com,"高所作業車 バケット 墜落 安全帯 未使用 イラスト",5bf18412846ace58d112dcdbecc05a8e
31,0031.png,墜落・転落,教育イラスト,"https://support-ss.co.jp/manual/",support-ss.co.jp,"高所作業車 バケット 墜落 安全帯 未使用 イラスト",7090d74714c141baf9b7fa43fbc1e335
32,0032.png,墜落・転落,教育イラスト,"https://ebipop.com/illust-anzentai/",ebipop.com,"高所作業車 バケット 墜落 安全帯 未使用 イラスト",3eceef0e4ecdd523845b71e47f198b58
33,0033.webp,墜落・転落,教育イラスト,"https://pixta.jp/illustration/88494692",pixta.jp,"高所作業車 バケット 墜落 安全帯 未使用 イラスト",bd071ffe7f44478ab07f32143a6a903c
34,0034.jpg,墜落・転落,教育イラスト,"https://www.ac-illust.com/main/detail.php?id=2497978",www.ac-illust.com,"高所作業車 バケット 墜落 安全帯 未使用 イラスト",299bd261027fd34b2aa3c33fe76ad5ef
35,0035.jpg,墜落・転落,教育イラスト,"https://www.ac-illust.com/main/detail.php?id=23301377",www.ac-illust.com,"高所作業車 バケット 墜落 安全帯 未使用 イラスト",0ad647be56140ab28d126e6612de44ca
36,0036.png,墜落・転落,教育イラスト,"https://kenki-kyosyu.com/3836/",kenki-kyosyu.com,"高所作業車 バケット 墜落 安全帯 未使用 イラスト",6ea5f4a5679aad3ad46cc9c5fc88761e
37,0037.jpg,墜落・転落,ヒヤリハット挿絵,"http://www.sacl.or.jp/case/",www.sacl.or.jp,"高所作業車 乗り出し 墜落 ヒヤリハット イラスト",71ae19569a125c4aeb077e0d62c5cab5
38,0038.jpg,墜落・転落,ヒヤリハット挿絵,"https://www.sacl.or.jp/case/unsafe/",www.sacl.or.jp,"高所作業車 乗り出し 墜落 ヒヤリハット イラスト",fba4804c23ad7c6ab3e617395d5d9f0c
39,0039.jpg,墜落・転落,ヒヤリハット挿絵,"https://www.ac-illust.com/main/detail.php?id=23104332",www.ac-illust.com,"高所作業車 乗り出し 墜落 ヒヤリハット イラスト",690e25edbf3df4444e362f6459820934
40,0040.jpg,墜落・転落,ヒヤリハット挿絵,"https://www.ac-illust.com/main/detail.php?id=22041855",www.ac-illust.com,"高所作業車 乗り出し 墜落 ヒヤリハット イラスト",9dcceaa8b4144d35d9b27ee8288e7b84
41,0041.jpg,墜落・転落,ヒヤリハット挿絵,"https://marketing.nitto-lmaterials.com/column/forklift_accident/",marketing.nitto-lmaterials.com,"高所作業車 乗り出し 墜落 ヒヤリハット イラスト",0f2613582794ccb39b50a64f6c793a77
42,0042.gif,墜落・転落,ヒヤリハット挿絵,"https://anzeninfo.mhlw.go.jp/hiyari/01.html",anzeninfo.mhlw.go.jp,"高所作業車 乗り出し 墜落 ヒヤリハット イラスト",c327713ee8995c2cc26b7ddf8f648d87
43,0043.jpg,墜落・転落,ヒヤリハット挿絵,"https://www.studiospeak.co.jp/free/hiyari/",www.studiospeak.co.jp,"高所作業車 乗り出し 墜落 ヒヤリハット イラスト",65601474eaa1fa3a4cb5b9928ac94539
44,0044.webp,墜落・転落,ヒヤリハット挿絵,"https://pixta.jp/illustration/16383089",pixta.jp,"高所作業車 乗り出し 墜落 ヒヤリハット イラスト",61d8d7f14f06a8b9355afe0ff2f3d74f
45,0045.png,墜落・転落,KYT教材,"https://www.rodo.co.jp/series/37741/",www.rodo.co.jp,"高所作業車 アウトリガー 墜落 KYT 教材",9a40160c63907c39a3d58a9cfb80df45
46,0046.jpg,墜落・転落,KYT教材,"https://www.planex00.com/product/?mca=1&p=1&id=1573696661-553819",www.planex00.com,"高所作業車 アウトリガー 墜落 KYT 教材",1503f145b79290eca1908872a8fdad54
47,0047.jpg,墜落・転落,KYT教材,"https://www.rent.co.jp/media/knowhow/aerial-work-platform-kinds/",www.rent.co.jp,"高所作業車 アウトリガー 墜落 KYT 教材",72f3255fdff47c7e9f75817a55c88b2e
48,0048.jpg,墜落・転落,KYT教材,"https://kenki-kyosyu.com/3836/",kenki-kyosyu.com,"高所作業車 アウトリガー 墜落 KYT 教材",a831b847167ee1930de3fa7d1848df09
49,0049.jpg,墜落・転落,KYT教材,"https://www.rent.co.jp/media/knowhow/aerial-work-vehicle-license/",www.rent.co.jp,"高所作業車 アウトリガー 墜落 KYT 教材",1cdc19f52d2cc5ce1968e5c37e5d567b
50,0050.png,墜落・転落,KYT教材,"https://www.atpress.ne.jp/news/341489",www.atpress.ne.jp,"高所作業車 アウトリガー 墜落 KYT 教材",ea1524bf64eabcd19b5c9a08d85694bf
51,0051.jpg,墜落・転落,KYT教材,"https://yamadabody.jp/blog/products/kasoupa-tu/truck-loading-platform-accident/",yamadabody.jp,"高所作業車 アウトリガー 墜落 KYT 教材",93a84831ca7d387bedf3ae4fa2daf3a5
52,0052.jpg,墜落・転落,KYT教材,"https://www.pinterest.com/pin/2022--753297475183298814/",www.pinterest.com,"高所作業車 アウトリガー 墜落 KYT 教材",e8a9a20cf507f6ec3e2d76a2798f14cf
53,0053.jpg,墜落・転落,KYT教材,"https://t-i-trading.co.jp/fp/knowledge/safety/page1-1/",t-i-trading.co.jp,"高所作業車 アウトリガー 墜落 KYT 教材",e85aef76dfe05fee0c1a573b9ca861fb
