0038	崩壊・倒壊	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-39-12-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0038.html	積込み中の古紙の束が落下して顔に当たりそうになった
0054	飛来・落下	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-55-12-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0054.html	重い荷物が手から滑り落ち、足に当たりそうになった
0072	墜落・転落	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-73-12-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0072.html	フォークリフトのパレットに荷物を積み下ろし作業中、作業場から転落しそうになった
0090	墜落・転落	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-91-12-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0090.html	バルク車のタンク上でバランスを崩し、転落しそうになった
0092	墜落・転落	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-93-12-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0092.html	運転席の上の荷台から足を滑らせ、転落しそうになった
0148	崩壊・倒壊	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-148-15-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0148.html	パレットで荷を積み込み作業中、荷崩れを起こした
0164	はさまれ・巻き込まれ	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-164-15-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0164.html	ごみ収集車の車両点検中、テールゲートが急に下降した
0176	激突され	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-176-15-3.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0176.html	ダンプがバック中、誘導者が転倒したので慌てて止めた
0187	激突され	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-187-15-3.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0187.html	アウトリガーのジャッキを縮めたところ、トラッククレーンが坂道を下り始めた
0195	飛来・落下	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-195-15-3.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0195.html	鋼製矢板の荷降ろし作業中、矢板が反転して崩れた
0219	激突され	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-219-17-4.jpg	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0219.html	トラッククレーンでつり上げて回したフレコンバッグが頭部に当たった
0338	動作の反動・無理な動作	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-338-23-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0338.html	米袋の荷降ろしを行っていた際、腰をひねり違和感を覚えた
0355	転倒	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-355-24-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0355.html	荷降ろし作業中、バランスを崩し荷台の上で転倒しそうになった
0358	転倒	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-358-24-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0358.html	積み込み作業中、足元の空のパン箱（番重）に気づかず、つまずき転倒しそうになった
0361	墜落・転落	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-361-24-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0361.html	積み荷の揺り返しによりフレコンバッグが当たり、荷台から転落しそうになった
0365	墜落・転落	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-365-24-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0365.html	夜間、ごみ集積場へ向かっていた際、トラックバースへ転落しそうになった
0380	転倒	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-380-25-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0380.html	両手に荷物を持って雪道を歩行中、滑って転倒しそうになった
0419	激突され	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-419-27-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0419.html	コンテナの奥で貨物を撮影していたところ、貨物が積み込まれて激突しそうになった
0436	激突され	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-436-29-1.gif	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0436.html	移動式クレーンから荷卸し中、荷のバランスが崩れて回転し、ぶつかりそうになった
0461	激突され	https://anzeninfo.mhlw.go.jp/hiyari/image/hiy1-461-31-1.jpg	https://anzeninfo.mhlw.go.jp/hiyari/hiy_0461.html	移動式クレーンの荷下ろしの際に、ジブを伏せたときにクレーンが転倒し、ジブが作業者に当たりそうになった
